Año,Mes,Día,Hora,Día de la semana,Temperatura (°C),Punto de rocío (°C),Humedad (%),Dirección del viento,Velocidad del viento (m/s),Ráfaga de viento (m/s),Presión (hPa),Precipitación (mm),Condición meteorológica
2014,1,4,9,5,10.555555555555555,1.1111111111111112,52.0,E,3.12928,0.0,973.9257640000001,0.0,Nublado
2014,1,4,10,5,12.222222222222221,1.6666666666666667,49.0,E,1.34112,0.0,974.264403,0.0,Nublado
2014,1,4,11,5,14.444444444444445,1.6666666666666667,42.0,ESE,2.68224,0.0,974.6030420000001,0.0,Nublado
2014,1,4,12,5,16.11111111111111,1.1111111111111112,36.0,S,2.68224,0.0,973.587125,0.0,Mayormente_nublado
2014,1,4,13,5,17.22222222222222,1.1111111111111112,34.0,CALMA,0.0,0.0,972.909847,0.0,Nublado
2014,1,4,14,5,18.88888888888889,1.1111111111111112,30.0,CALMA,0.0,0.0,972.232569,0.0,Nublado
2014,1,4,15,5,19.444444444444443,0.5555555555555556,28.0,SE,1.34112,0.0,971.89393,0.0,Nublado
2014,1,4,16,5,18.88888888888889,0.5555555555555556,29.0,CALMA,0.0,0.0,971.89393,0.0,Nublado
2014,1,4,17,5,19.444444444444443,1.1111111111111112,30.0,SO,2.2352,0.0,971.89393,0.0,Mayormente_nublado
2014,1,4,18,5,17.77777777777778,2.2222222222222223,35.0,CALMA,0.0,0.0,972.232569,0.0,Mayormente_nublado
2014,1,4,19,5,15.555555555555555,3.3333333333333335,44.0,CALMA,0.0,0.0,972.909847,0.0,Mayormente_nublado
2014,1,4,20,5,15.0,2.7777777777777777,44.0,CALMA,0.0,0.0,973.248486,0.0,Despejado
2014,1,4,21,5,13.88888888888889,2.7777777777777777,47.0,CALMA,0.0,0.0,973.9257640000001,0.0,Despejado
2014,1,4,22,5,11.666666666666666,3.888888888888889,59.0,CALMA,0.0,0.0,974.941681,0.0,Despejado
2014,1,4,23,5,11.11111111111111,3.3333333333333335,59.0,CALMA,0.0,0.0,975.2803200000001,0.0,Despejado
2014,1,5,0,6,10.555555555555555,3.3333333333333335,61.0,CALMA,0.0,0.0,975.618959,0.0,Despejado
2014,1,5,1,6,9.444444444444445,3.3333333333333335,66.0,ESE,2.2352,0.0,975.618959,0.0,Despejado
2014,1,5,2,6,8.88888888888889,2.7777777777777777,66.0,E,1.34112,0.0,975.618959,0.0,Despejado
2014,1,5,3,6,7.777777777777778,2.7777777777777777,71.0,CALMA,0.0,0.0,975.9575980000001,0.0,Despejado
2014,1,5,4,6,8.88888888888889,2.2222222222222223,63.0,ONO,1.34112,0.0,976.6348760000001,0.0,Despejado
2014,1,5,5,6,8.333333333333334,1.6666666666666667,63.0,O,1.34112,0.0,976.973515,0.0,Despejado
2014,1,5,6,6,7.222222222222222,0.5555555555555556,63.0,CALMA,0.0,0.0,977.312154,0.0,Despejado
2014,1,5,7,6,7.222222222222222,0.5555555555555556,63.0,SO,1.34112,0.0,977.989432,0.0,Despejado
2014,1,5,8,6,6.666666666666667,-1.6666666666666667,55.0,SSO,1.34112,0.0,979.005349,0.0,Despejado
2014,1,5,9,6,8.88888888888889,-7.222222222222222,32.0,O,1.34112,0.0,980.0212660000001,0.0,Despejado
2014,1,5,10,6,10.555555555555555,-6.111111111111111,31.0,SO,1.34112,0.0,980.6985440000001,0.0,Despejado
2014,1,5,11,6,12.222222222222221,-6.111111111111111,28.0,O,1.34112,0.0,980.6985440000001,0.0,Despejado
2014,1,5,12,6,14.444444444444445,-7.222222222222222,22.0,O,1.34112,0.0,979.682627,0.0,Despejado
2014,1,5,13,6,15.555555555555555,-7.777777777777778,20.0,CALMA,0.0,0.0,978.66671,0.0,Despejado
2014,1,5,14,6,16.666666666666668,-8.333333333333334,18.0,CALMA,0.0,0.0,977.989432,0.0,Despejado
2014,1,5,15,6,17.22222222222222,-9.444444444444445,16.0,CALMA,0.0,0.0,977.650793,0.0,Despejado
2014,1,5,16,6,18.333333333333332,-10.555555555555555,13.0,CALMA,0.0,0.0,977.650793,0.0,Despejado
2014,1,5,17,6,18.333333333333332,-11.666666666666666,12.0,CALMA,0.0,0.0,977.650793,0.0,Despejado
2014,1,5,18,6,17.22222222222222,-10.555555555555555,14.0,O,3.12928,0.0,978.328071,0.0,Despejado
2014,1,5,19,6,13.88888888888889,-7.222222222222222,23.0,SSO,2.2352,0.0,979.005349,0.0,Despejado
2014,1,5,20,6,13.333333333333334,-6.666666666666667,25.0,CALMA,0.0,0.0,979.682627,0.0,Despejado
2014,1,5,21,6,14.444444444444445,-8.88888888888889,19.0,CALMA,0.0,0.0,980.0212660000001,0.0,Despejado
