Año,Mes,Día,Hora,Día de la semana,Electricidad (kW),Fotovoltaica (kW),Refrigeración (kW),Calefacción (kWh),Energía total (kWh),Emisión (kg CO₂)
2014,1,7,21,1,21647.83,1.69,10961.64492,852.8366100000001,33462.84678000001,20870.0
2014,1,7,22,1,22948.16,2.02,9577.599909999999,858.6980300000001,33383.71761,20820.0
2014,1,7,23,1,22285.04,1.71,7912.933469999999,844.04448,31042.080320000005,19360.0
2014,1,8,0,2,21992.16,2.06,7867.10696,808.87596,30669.880150000005,19130.0
2014,1,8,1,2,22001.35,2.16,7524.16429,890.9358400000001,30417.839090000005,18970.0
2014,1,8,2,2,22058.61,2.84,7161.24506,943.6886200000001,30165.798030000005,18810.0
2014,1,8,3,2,22209.17,7.15,7155.19582,885.07442,30250.788620000003,18870.0
2014,1,8,4,2,22782.69,10.26,7439.580440000001,1031.60992,31253.091440000004,19490.0
2014,1,8,5,2,23614.53,6.96,7934.316829999999,1154.69974,32700.862180000004,20400.0
2014,1,8,6,2,24501.09,4.78,8079.393079999999,1406.7408,33987.44387,21200.0
2014,1,8,7,2,25135.15,8.8,8129.6158399999995,1541.55346,34805.11196,21710.0
2014,1,8,8,2,25480.17,830.92,9396.7206,1459.4935800000003,36337.87329,22660.0
2014,1,8,9,2,24889.84,5231.33,9395.03244,1395.0179600000001,35681.394250000005,22250.0
2014,1,8,10,2,24742.19,7907.67,10627.98713,1113.6698000000001,36481.47808000001,22750.0
2014,1,8,11,2,24318.47,9173.26,13642.26715,978.8571400000001,38937.413060000006,24290.0
2014,1,8,12,2,23980.21,10386.39,14358.46903,946.6193300000001,39286.167550000006,24500.0
2014,1,8,13,2,24580.47,10459.6,16022.643090000001,873.3515800000001,41475.407920000005,25870.0
2014,1,8,14,2,24553.83,9609.4,17058.64578,832.32164,42445.47293000001,26470.0
2014,1,8,15,2,23760.82,7992.69,17690.26381,820.5988,42272.56104000001,26360.0
2014,1,8,16,2,23329.32,4155.22,17610.07621,832.32164,41771.40963,26050.0
2014,1,8,17,2,22733.43,338.25,16325.42162,870.4208700000001,39927.99304000001,24900.0
2014,1,8,18,2,22167.8,5.0,13563.83805,849.9059000000001,36581.122220000005,22810.0
2014,1,8,19,2,21444.26,2.15,12244.611350000001,794.2224100000001,34482.73386,21510.0
2014,1,8,20,2,21093.94,1.76,11135.38472,826.46022,33055.478090000004,20620.0
2014,1,8,21,2,21637.92,2.24,9528.57293,911.45081,32076.620950000004,20010.0
2014,1,8,22,2,22157.59,1.92,7859.299219999999,970.0650100000001,30986.396830000005,19330.0
2014,1,8,23,2,22049.71,2.25,7859.299219999999,882.14371,30792.969970000002,19200.0
2014,1,9,0,3,22958.59,2.12,7421.85476,937.8272000000002,31317.56706,19530.0
2014,1,9,1,3,22886.32,2.44,7742.499649999999,937.8272000000002,31566.67741,19690.0
2014,1,9,2,3,22930.9,7.37,7769.26402,893.8665500000001,31593.0538,19700.0
2014,1,9,3,3,22941.16,11.4,7754.879489999999,952.4807500000001,31648.73729,19740.0
2014,1,9,4,3,23579.88,8.38,7872.980350000001,958.3421700000001,32410.721890000004,20210.0
2014,1,9,5,3,25468.72,4.61,8940.53053,1081.43199,35487.967390000005,22130.0
2014,1,9,6,3,26846.46,3.6,9459.07701,1441.9093200000002,37747.5448,23540.0
2014,1,9,7,3,26021.93,7.7,7993.965149999999,1389.1565400000002,35405.907510000005,22080.0
2014,1,9,8,3,24889.05,514.23,9082.44148,1271.92814,35244.718460000004,21980.0
2014,1,9,9,3,24844.51,2015.55,8838.04515,1213.31394,34893.033260000004,21760.0
2014,1,9,10,3,25176.0,4178.48,9760.58942,1104.87767,36041.871580000006,22480.0
2014,1,9,11,3,24432.97,4472.09,9849.56952,1116.6005100000002,35400.04609,22080.0
